Country,Year,Status,Life_expectancy
Austria,2015,Developed,81.5
Austria,2014,Developed,81.4
Austria,2013,Developed,81.1
Austria,2012,Developed,88.0
Austria,2011,Developed,88.0
Austria,2010,Developed,84.0
Austria,2009,Developed,82.0
Austria,2008,Developed,84.0
Austria,2007,Developed,81.0
Austria,2006,Developed,79.8
Austria,2005,Developed,79.4
Austria,2004,Developed,79.3
Austria,2003,Developed,78.8
Austria,2002,Developed,78.7
Austria,2001,Developed,78.6
Austria,2000,Developed,78.1
Bangladesh,2015,Developing,71.8
Bangladesh,2014,Developing,71.4
Bangladesh,2013,Developing,71.0
Bangladesh,2012,Developing,77.0
Bangladesh,2011,Developing,73.0
Bangladesh,2010,Developing,69.9
Bangladesh,2009,Developing,69.5
Bangladesh,2008,Developing,69.1
Bangladesh,2007,Developing,68.6
Bangladesh,2006,Developing,68.2
Bangladesh,2005,Developing,67.8
Bangladesh,2004,Developing,67.3
Bangladesh,2003,Developing,66.8
Bangladesh,2002,Developing,66.3
Bangladesh,2001,Developing,65.8
Bangladesh,2000,Developing,65.3
Brazil,2015,Developing,75.0
Brazil,2014,Developing,74.8
Brazil,2013,Developing,74.7
Brazil,2012,Developing,74.5
Brazil,2011,Developing,74.1
Brazil,2010,Developing,73.8
Brazil,2009,Developing,73.6
Brazil,2008,Developing,73.4
Brazil,2007,Developing,73.3
Brazil,2006,Developing,73.0
Brazil,2005,Developing,72.7
Brazil,2004,Developing,72.0
Brazil,2003,Developing,71.8
Brazil,2002,Developing,71.4
Brazil,2001,Developing,71.0
Brazil,2000,Developing,75.0
Bulgaria,2015,Developed,74.5
Bulgaria,2014,Developed,74.3
Bulgaria,2013,Developed,74.1
Bulgaria,2012,Developed,73.9
Bulgaria,2011,Developed,73.7
Bulgaria,2010,Developed,73.4
Bulgaria,2009,Developed,73.2
Bulgaria,2008,Developed,72.9
Bulgaria,2007,Developed,72.6
Bulgaria,2006,Developed,72.2
Bulgaria,2005,Developed,72.1
Bulgaria,2004,Developed,72.2
Bulgaria,2003,Developed,72.0
Bulgaria,2002,Developed,71.8
Bulgaria,2001,Developed,71.6
Bulgaria,2000,Developed,71.1
Ethiopia,2015,Developing,64.8
Ethiopia,2014,Developing,64.2
Ethiopia,2013,Developing,63.7
Ethiopia,2012,Developing,63.3
Ethiopia,2011,Developing,62.6
Ethiopia,2010,Developing,61.8
Ethiopia,2009,Developing,68.0
Ethiopia,2008,Developing,59.8
Ethiopia,2007,Developing,58.5
Ethiopia,2006,Developing,57.2
Ethiopia,2005,Developing,56.0
Ethiopia,2004,Developing,55.0
Ethiopia,2003,Developing,54.0
Ethiopia,2002,Developing,53.2
Ethiopia,2001,Developing,52.5
Ethiopia,2000,Developing,51.2
Germany,2015,Developed,81.0
Germany,2014,Developed,89.0
Germany,2013,Developed,86.0
Germany,2012,Developed,86.0
Germany,2011,Developed,85.0
Germany,2010,Developed,81.0
Germany,2009,Developed,80.0
Germany,2008,Developed,79.9
Germany,2007,Developed,79.8
Germany,2006,Developed,79.6
Germany,2005,Developed,79.2
Germany,2004,Developed,79.1
Germany,2003,Developed,78.5
Germany,2002,Developed,78.4
Germany,2001,Developed,78.3
Germany,2000,Developed,78.0
India,2015,Developing,68.3
India,2014,Developing,68.0
India,2013,Developing,67.6
India,2012,Developing,67.3
India,2011,Developing,66.8
India,2010,Developing,66.4
India,2009,Developing,66.0
India,2008,Developing,65.5
India,2007,Developing,65.2
India,2006,Developing,64.8
India,2005,Developing,64.4
India,2004,Developing,64.0
India,2003,Developing,63.7
India,2002,Developing,63.3
India,2001,Developing,62.9
India,2000,Developing,62.5
Indonesia,2015,Developing,69.1
Indonesia,2014,Developing,68.9
Indonesia,2013,Developing,68.7
Indonesia,2012,Developing,68.5
Indonesia,2011,Developing,68.3
Indonesia,2010,Developing,68.1
Indonesia,2009,Developing,67.9
Indonesia,2008,Developing,67.7
Indonesia,2007,Developing,67.5
Indonesia,2006,Developing,67.3
Indonesia,2005,Developing,67.2
Indonesia,2004,Developing,65.3
Indonesia,2003,Developing,66.9
Indonesia,2002,Developing,66.7
Indonesia,2001,Developing,66.5
Indonesia,2000,Developing,66.3
