Status,Life_expectancy,Adult Mortality, BMI ,Income composition of resources,Schooling
Developing,65.0,263.0,19.1,0.479,10.1
Developing,77.8,74.0,58.0,0.762,14.2
Developing,75.6,19.0,59.5,0.743,14.4
Developing,52.4,335.0,23.3,0.531,11.4
Developing,76.4,13.0,47.7,0.784,13.9
Developing,76.3,116.0,62.8,0.826,17.3
Developing,74.8,118.0,54.9,0.741,12.7
Developed,82.8,59.0,66.6,0.937,20.4
Developed,81.5,65.0,57.6,0.892,15.9
Developing,72.7,118.0,52.5,0.758,12.7
Developing,76.1,147.0,64.5,0.79,12.6
Developing,76.9,69.0,63.6,0.823,14.5
Developing,71.8,129.0,18.3,0.575,10.2
Developing,75.5,98.0,54.5,0.794,15.3
Developing,72.3,196.0,62.3,0.798,15.6
Developed,81.1,74.0,63.7,0.895,16.6
Developing,71.0,175.0,5.9,0.706,12.8
Developing,60.0,249.0,25.7,0.481,10.7
Developing,69.8,211.0,24.5,0.604,12.5
Developing,77.0,186.0,52.6,0.671,13.8
Developing,77.4,88.0,55.8,0.747,14.2
Developing,65.7,256.0,37.9,0.698,12.6
Developing,75.0,142.0,56.1,0.754,15.2
Developing,77.7,78.0,41.2,0.864,14.9
Developed,74.5,137.0,65.7,0.792,15.0
Developing,59.9,26.0,19.4,0.399,7.7
Developing,59.6,288.0,18.7,0.406,10.6
Developing,53.3,397.0,28.0,,
Developing,73.3,114.0,31.3,0.646,13.5
Developing,68.7,174.0,19.6,0.558,10.9
Developing,57.3,357.0,29.0,0.514,10.4
Developing,82.2,64.0,67.0,0.919,16.3
Developing,52.5,397.0,22.7,0.347,7.1
Developing,53.1,356.0,19.1,0.394,7.3
Developing,85.0,82.0,63.8,0.845,16.3
Developing,76.1,85.0,32.9,0.734,13.5
Developing,74.8,143.0,57.9,0.724,13.6
Developing,63.5,227.0,24.2,0.498,11.1
Developing,64.7,267.0,27.4,0.59,11.1
Developing,79.6,95.0,6.5,0.775,14.2
Developed,78.0,95.0,63.7,0.823,15.3
Developing,79.1,92.0,61.4,0.773,13.9
Developed,85.0,52.0,6.3,0.854,14.3
Developed,78.8,86.0,66.1,,
Developing,76.0,139.0,32.9,,
Developing,59.8,258.0,21.6,,
Developed,86.0,71.0,58.8,0.923,19.2
Developing,63.5,241.0,35.0,0.47,6.3
Developing,73.9,152.0,58.9,0.718,13.2
Developing,76.2,118.0,54.2,0.739,14.0
Developing,79.0,159.0,61.1,0.688,13.1
Developing,73.5,178.0,56.1,0.678,13.2
Developing,58.2,32.0,24.5,0.582,9.2
Developing,64.7,255.0,18.6,0.418,5.0
Developing,77.6,119.0,59.9,0.863,16.5
Developing,64.8,225.0,17.6,0.441,8.4
Developing,69.9,188.0,62.7,0.734,15.3
Developing,81.1,76.0,62.1,0.893,17.0
Developing,82.4,78.0,62.5,0.894,16.3
Developing,66.0,229.0,36.3,0.694,12.6
Developing,61.1,262.0,27.3,0.45,8.9
Developing,74.4,129.0,56.2,0.768,13.9
Developed,81.0,68.0,62.3,0.924,17.1
Developing,62.4,249.0,28.6,0.575,11.4
Developing,81.0,72.0,66.5,0.865,17.2
Developing,73.6,142.0,48.4,0.751,15.8
Developing,71.9,186.0,5.6,0.637,10.7
Developing,59.0,284.0,23.3,0.414,8.8
Developing,58.9,275.0,26.3,0.421,9.2
Developing,66.2,215.0,46.7,0.638,10.3
Developing,63.5,24.0,49.9,0.49,9.1
Developing,74.6,147.0,51.0,0.623,11.2
Developed,75.8,134.0,64.8,0.834,15.6
Developed,82.7,49.0,61.0,0.919,19.0
Developing,68.3,181.0,18.7,0.615,11.6
Developing,69.1,176.0,27.4,0.686,12.9
Developing,75.5,83.0,59.7,0.774,14.8
Developing,68.9,182.0,59.1,0.649,10.1
Developed,81.4,64.0,62.8,0.92,18.6
Developing,82.5,58.0,64.9,0.898,16.0
Developed,82.7,56.0,63.6,0.881,16.3
Developing,76.2,125.0,54.2,0.729,12.8
Developed,83.7,55.0,29.0,0.902,15.3
Developing,74.1,112.0,65.6,0.741,13.1
Developing,72.0,198.0,53.1,0.793,15.0
Developing,63.4,249.0,22.0,0.55,11.1
Developing,66.3,198.0,77.6,0.586,11.9
Developing,74.7,81.0,71.4,0.799,13.3
Developing,71.1,166.0,44.9,0.662,13.0
Developing,65.7,194.0,21.7,0.582,10.8
Developed,74.6,153.0,61.2,0.828,16.0
Developing,74.9,98.0,66.1,0.763,13.3
Developing,53.7,484.0,32.6,0.495,10.7
Developing,61.4,259.0,27.3,0.427,9.9
Developing,72.7,138.0,64.8,0.719,13.4
Developed,73.6,165.0,62.4,0.846,16.5
Developed,82.0,63.0,61.3,0.896,13.9
Developing,65.5,22.0,2.5,0.511,10.3
Developing,58.3,365.0,19.6,0.473,10.8
Developing,75.0,123.0,4.6,0.787,13.1
Developing,78.5,61.0,27.4,0.701,12.7
Developing,58.2,266.0,23.8,0.438,8.4
Developed,81.7,54.0,69.6,0.853,14.6
Developing,63.1,25.0,3.8,0.513,8.5
Developing,74.6,146.0,33.3,0.779,15.2
Developing,76.7,122.0,63.5,0.758,13.3
Developing,69.4,166.0,69.4,0.637,11.7
Developing,68.8,222.0,52.7,0.733,14.8
Developing,76.1,16.0,61.8,0.804,15.1
Developing,74.3,95.0,58.5,0.645,12.1
Developing,57.6,355.0,22.6,0.414,9.1
Developing,66.6,199.0,23.8,0.552,9.1
Developing,65.8,248.0,35.7,0.637,11.7
Developing,69.2,165.0,19.1,0.555,12.2
Developed,81.9,57.0,62.1,0.923,18.1
Developed,81.6,66.0,67.5,0.913,19.2
Developing,74.8,145.0,54.0,0.642,11.7
Developing,61.8,22.0,19.3,0.351,5.4
Developing,54.5,344.0,25.4,0.525,10.0
Developed,81.8,59.0,61.2,0.948,17.7
Developing,76.6,99.0,54.6,0.795,13.7
Developing,66.4,161.0,25.4,0.548,8.1
Developing,77.8,118.0,57.8,0.785,13.0
Developing,62.9,275.0,48.6,0.515,10.0
Developing,74.0,146.0,5.2,0.692,12.3
Developing,75.5,123.0,55.6,0.737,13.4
Developing,68.5,211.0,25.4,0.679,11.7
Developed,77.5,117.0,61.7,0.852,16.4
Developed,81.1,76.0,61.6,0.841,16.6
Developing,78.2,68.0,69.3,0.855,13.4
Developing,82.3,64.0,31.7,,
Developing,72.1,157.0,53.4,,
Developed,75.0,133.0,6.7,0.798,14.7
Developing,75.0,222.0,6.5,0.805,15.0
Developing,66.1,227.0,21.4,0.493,10.8
Developing,75.2,138.0,47.5,0.735,13.1
Developing,73.2,156.0,54.1,0.72,13.3
Developing,74.0,125.0,74.7,0.702,12.9
