Country,Life_expectancy
Australia,82.8
Austria,81.5
Belgium,81.1
Bulgaria,74.5
Croatia,78.0
Cyprus,85.0
Czechia,78.8
Denmark,86.0
Germany,81.0
Hungary,75.8
Iceland,82.7
Ireland,81.4
Italy,82.7
Japan,83.7
Latvia,74.6
Lithuania,73.6
Luxembourg,82.0
Malta,81.7
Netherlands,81.9
New Zealand,81.6
Norway,81.8
Poland,77.5
Portugal,81.1
Romania,75.0
Singapore,83.1
Slovakia,76.7
Slovenia,88.0
Spain,82.8
Sweden,82.4
Switzerland,83.4
United Kingdom of Great Britain and Northern Ireland,81.2
United States of America,79.3
