Country,Year,Life_expectancy
Australia,2015,82.8
Australia,2014,82.7
Australia,2013,82.5
Australia,2012,82.3
Australia,2011,82.0
Australia,2010,81.9
Australia,2009,81.7
Australia,2008,81.3
Australia,2007,81.3
Australia,2006,81.2
Australia,2005,81.0
Australia,2004,86.0
Australia,2003,83.0
Australia,2002,79.9
Australia,2001,79.9
Australia,2000,79.5
Austria,2015,81.5
Austria,2014,81.4
Austria,2013,81.1
Austria,2012,88.0
Austria,2011,88.0
Austria,2010,84.0
Austria,2009,82.0
Austria,2008,84.0
Austria,2007,81.0
Austria,2006,79.8
Austria,2005,79.4
Austria,2004,79.3
Austria,2003,78.8
Austria,2002,78.7
Austria,2001,78.6
Austria,2000,78.1
Belgium,2015,81.1
Belgium,2014,89.0
Belgium,2013,87.0
Belgium,2012,83.0
Belgium,2011,83.0
Belgium,2010,80.0
Belgium,2009,79.8
Belgium,2008,79.5
Belgium,2007,79.5
Belgium,2006,79.4
Belgium,2005,78.9
Belgium,2004,78.8
Belgium,2003,78.3
Belgium,2002,78.0
Belgium,2001,78.0
Belgium,2000,77.6
Bulgaria,2015,74.5
Bulgaria,2014,74.3
Bulgaria,2013,74.1
Bulgaria,2012,73.9
Bulgaria,2011,73.7
Bulgaria,2010,73.4
Bulgaria,2009,73.2
Bulgaria,2008,72.9
Bulgaria,2007,72.6
Bulgaria,2006,72.2
Bulgaria,2005,72.1
Bulgaria,2004,72.2
Bulgaria,2003,72.0
Bulgaria,2002,71.8
Bulgaria,2001,71.6
Bulgaria,2000,71.1
Croatia,2015,78.0
Croatia,2014,77.8
Croatia,2013,77.7
Croatia,2012,77.1
Croatia,2011,77.0
Croatia,2010,76.6
Croatia,2009,76.3
Croatia,2008,76.0
Croatia,2007,75.8
Croatia,2006,75.9
Croatia,2005,75.2
Croatia,2004,75.4
Croatia,2003,74.7
Croatia,2002,74.8
Croatia,2001,74.9
Croatia,2000,74.7
Cyprus,2015,85.0
Cyprus,2014,83.0
Cyprus,2013,81.0
Cyprus,2012,80.0
Cyprus,2011,79.7
Cyprus,2010,79.5
Cyprus,2009,79.3
Cyprus,2008,79.1
Cyprus,2007,78.9
Cyprus,2006,78.8
Cyprus,2005,78.7
Cyprus,2004,78.6
Cyprus,2003,78.5
Cyprus,2002,78.4
Cyprus,2001,78.2
Cyprus,2000,78.1
Czechia,2015,78.8
Czechia,2014,78.6
Czechia,2013,78.2
Czechia,2012,78.0
Czechia,2011,77.8
Czechia,2010,77.5
Czechia,2009,77.1
Czechia,2008,77.0
Czechia,2007,76.8
Czechia,2006,76.5
Czechia,2005,75.9
Czechia,2004,75.8
Czechia,2003,75.2
Czechia,2002,75.3
Czechia,2001,75.1
Czechia,2000,74.7
Denmark,2015,86.0
Denmark,2014,84.0
Denmark,2013,81.0
Denmark,2012,80.0
Denmark,2011,79.7
Denmark,2010,79.2
Denmark,2009,78.9
Denmark,2008,78.8
Denmark,2007,78.4
Denmark,2006,78.1
Denmark,2005,78.1
Denmark,2004,77.7
Denmark,2003,77.3
Denmark,2002,77.0
Denmark,2001,77.0
Denmark,2000,76.9
Germany,2015,81.0
Germany,2014,89.0
Germany,2013,86.0
Germany,2012,86.0
Germany,2011,85.0
Germany,2010,81.0
Germany,2009,80.0
Germany,2008,79.9
Germany,2007,79.8
Germany,2006,79.6
Germany,2005,79.2
Germany,2004,79.1
Germany,2003,78.5
Germany,2002,78.4
Germany,2001,78.3
Germany,2000,78.0
Hungary,2015,75.8
Hungary,2014,75.6
Hungary,2013,75.5
Hungary,2012,75.0
